ADA,CODE,,BRAND NAME,PROOF,SIZE,PACK,BASE,ON PREM,OFF PREM,MINIMUM,
NO.,#,,,,IN ML,SIZE,$$,$$,$$,SHELF $$,
"NEW ITEMS: AUGUST 28,2011",,,,,,,,,,,
,,,,,,,,,,,
STRAIGHT BOURBON,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
321,8131,,PINNACLE CAKE PL,70.0,375,12,5.25,4.99,5.09,5.98,
321,8156,,PINNACLE COCONUT,70.0,750,12,11.40,10.84,11.05,12.99,
321,8157,,PINNACLE COCONUT,70.0,1000,12,14.90,14.17,14.45,16.98,
321,8132,,PINNACLE COCONUT PL,70.0,375,12,5.25,4.99,5.09,5.98,
321,8133,,PINNACLE COTTON CANDY PL,70.0,375,12,5.25,4.99,5.09,5.98,
321,8158,,PINNACLE GUMMY,70.0,1000,12,14.90,14.17,14.45,16.98,
321,8159,,PINNACLE GUMMY,70.0,750,12,11.40,10.84,11.05,12.99,
321,8114,,SMIRNOFF FLUFFED MARSHMALLOW,60.0,750,12,10.50,9.97,10.16,11.95,
321,8115,,SMIRNOFF FLUFFED MARSHMALLOW,60.0,1000,12,14.90,14.17,14.45,16.98,
321,8116,,SMIRNOFF WHIPPED CREAM,60.0,750,12,10.50,9.97,10.16,11.95,
321,8117,,SMIRNOFF WHIPPED CREAM,60.0,1000,12,14.90,14.17,14.45,16.98,
,,,,,,,,,,,
CORDIALS & LIQUEURS - AMERICAN,,,,,,,,,,,
,,,,,,,,,,,
321,8095,,CRAVE CHOCOLATE CHERRY,30.0,750,12,15.80,15.00,15.29,17.98,
321,8096,,CRAVE CHOCOLATE CHILI,30.0,750,12,15.80,15.00,15.29,17.98,
321,8097,,CRAVE CHOCOLATE MINT,30.0,750,12,15.80,15.00,15.29,17.98,
,,,,,,,,,,,
CORDIALS & LIQUEURS - FOREIGN,,,,,,,,,,,
,,,,,,,,,,,
321,8128,,PISCO PORTON,86.0,50,60,3.50,3.32,3.38,3.98,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"DELETED ITEMS:  AUGUST 28, 2011",,,,,,,,,,,
,,,,,,,,,,,
COGNAC,,,,,,,,,,,
,,,,,,,,,,,
321,97066,,COURVOISIER X O,80,750,12,,,,,
