ADA,LIQ,,BRAND NAME,PROOF,SIZE,PACK,BASE,ON PREM,OFF PREM,MINIMUM,NEW/,
#,CODE,,,,IN ML,,PRICE,PRICE,PRICE,SHELF PRICE,CHNG,
AMERICAN BLEND,,,,,,,,,,,,
,,,,,,,,,,,,
221,6680,,GENTLEMAN JACK,80.0,50,60,2.15,2.05,2.09,2.46,,
221,6498,,GENTLEMAN JACK,80.0,200,24,7.85,7.45,7.60,8.93,,
221,4101,,GENTLEMAN JACK,80.0,375,12,14.90,14.17,14.45,16.98,,
221,8787,,GENTLEMAN JACK,80.0,750,12,26.35,25.02,25.51,29.99,,
221,97846,,GENTLEMAN JACK,80.0,1000,12,36.85,35.00,35.68,41.94,,
221,8788,,GENTLEMAN JACK,80.0,1750,6,52.65,50.03,51.00,59.95,,
221,71726,,GENTLEMAN JACK W/CASE,80.0,750,12,26.35,25.02,25.51,29.99,,
221,71725,,GENTLEMAN JACK W/CASE,80.0,1750,6,52.65,50.03,51.00,59.95,,
221,71369,,GENTLEMAN JACK W/CRADLE,80.0,1750,6,55.30,52.53,53.55,62.95,,
221,71856,,GENTLEMAN JACK W/GOLF BALLS,80.0,750,6,26.35,25.02,25.51,29.99,,
221,71579,,GENTLEMAN JACK W/SHAKER,80.0,750,6,26.35,25.02,25.51,29.99,,
221,71534,,GENTLEMAN JACK W/TRAVEL BAG,80.0,750,6,26.35,25.02,25.51,29.99,,
221,70831,,GENTLEMAN JACK W/2 GLS,80.0,750,6,26.35,25.02,25.51,29.99,,
221,71668,,GENTLEMAN JACK W/50ML J DANIEL,80.0,750,12,26.35,25.02,25.51,29.99,,
221,71669,,GENTLEMAN JACK/50ML GENTLE JCK,80.0,750,12,26.35,25.02,25.51,29.99,,
321,6441,,GEORGE DICKEL CASCADE HOLLOW,80.0,750,12,14.90,14.17,14.45,16.98,,
321,92080,,GEORGE DICKEL OLD #12,90.0,750,12,19.30,18.33,18.69,21.97,,
321,6739,,GEORGE DICKEL OLD #8,80.0,750,12,16.65,15.83,16.14,18.97,,
321,6741,,GEORGE DICKEL OLD #8,80.0,1750,6,30.70,29.17,29.74,34.96,,
221,6631,,J DANIELS AMERICAN FORESTS DEC,90.0,750,6,35.10,33.33,33.98,39.95,,
221,7329,,J DANIELS ANGELO LUCCHESI,90.0,750,12,21.90,20.82,21.23,24.95,,
221,71551,,J DANIELS FAMILY/WOOD BOX 3PK,80.0,750,3,87.75,83.36,84.98,99.90,,
221,85413,,J DANIELS OLD 7 BLACK (TN),80.0,50,120,1.65,1.58,1.61,1.89,,
221,9124,,J DANIELS OLD 7 BLACK (TN),80.0,100,48,2.60,2.46,2.51,2.95,,
221,9122,,J DANIELS OLD 7 BLACK (TN),80.0,200,48,6.10,5.78,5.89,6.93,,
221,9123,,J DANIELS OLD 7 BLACK (TN),80.0,375,24,10.50,9.97,10.16,11.95,,
221,9127,,J DANIELS OLD 7 BLACK (TN),80.0,750,12,20.15,19.15,19.52,22.95,,
221,9121,,J DANIELS OLD 7 BLACK (TN),80.0,1000,12,27.20,25.85,26.35,30.97,,
221,9128,,J DANIELS OLD 7 BLACK (TN),80.0,1750,6,39.50,37.52,38.25,44.97,,
221,9113,,J DANIELS OLD 7 BLACK (TN) SQR,80.0,375,24,10.50,9.97,10.16,11.95,,
221,71697,,J DANIELS OLD 7 BLK W/T-SHIRT,80.0,1000,12,28.10,26.68,27.20,31.98,,
221,71927,,J DANIELS OLD 7 BLK W/2 MUGS,80.0,1750,6,39.50,37.52,38.25,44.97,NEW,
221,71670,,J DANIELS OLD 7 BLK W/50ML JD,80.0,1750,6,39.50,37.52,38.25,44.97,,
221,71904,,J DANIELS OLD 7 BLK/B-DAY CAP,80.0,750,12,20.15,19.15,19.52,22.95,NEW,
221,71552,,J DANIELS OLD 7 BLK/BELT BKL,80.0,750,6,20.15,19.15,19.52,22.95,,
221,71100,,J DANIELS OLD 7 BLK/FLASK,80.0,1750,6,39.50,37.52,38.25,44.97,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
TENNESSEE (CONTINUED),,,,,,,,,,,,
,,,,,,,,,,,,
221,71728,,J DANIELS OLD 7 BLK/PITCHER,80.0,1750,3,39.50,37.52,38.25,44.97,,
221,71812,,J DANIELS OLD 7 BLK/PLAY CARDS,80.0,750,12,20.15,19.15,19.52,22.95,,
221,71282,,J DANIELS OLD 7 BLK/RACE CAP,80.0,750,12,20.15,19.15,19.52,22.95,,
221,71367,,J DANIELS OLD 7 BLK/ROCK GLASS,80.0,750,6,20.15,19.15,19.52,22.95,,
221,71577,,J DANIELS OLD 7 BLK/SHAKER,80.0,1750,6,39.50,37.52,38.25,44.97,,
221,71297,,J DANIELS OLD 7 BLK/TIN,80.0,750,12,20.15,19.15,19.52,22.95,,
221,71857,,J DANIELS OLD 7 BLK/2 TALL GLS,80.0,750,6,20.15,19.15,19.52,22.95,,
221,71541,,"J DANIELS BLK/SHKR,GL,COASTERS",80.0,750,6,20.15,19.15,19.52,22.95,,
221,71858,,J DANIELS BLK/50MLGENTLE JACK,80.0,1750,6,39.50,37.52,38.25,44.97,,
221,70841,,J DANIELS W/CRADLE,80.0,1750,6,39.50,37.52,38.25,44.97,,
221,9143,,J DANIELS OLD 7 GREEN (TN),80.0,375,24,7.00,6.65,6.78,7.97,,
221,9147,,J DANIELS OLD 7 GREEN (TN),80.0,750,12,17.55,16.67,16.99,19.97,,
221,9148,,J DANIELS OLD 7 GREEN (TN),80.0,1750,6,35.10,33.33,33.98,39.95,,
221,7674,,J DANIELS SINGLE BARREL,94.0,50,60,3.15,3.00,3.06,3.60,,
221,70652,,J DANIELS SINGLE BARREL W/GLS,94.0,750,6,39.50,37.52,38.25,44.97,,
221,99086,,J DANIELS SINGLE BARRL DECANT,94.0,750,6,39.50,37.52,38.25,44.97,,
221,71540,,J DANIELS SINGLE/DU TIN & 2 GL,94.0,750,6,39.50,37.52,38.25,44.97,,
221,7675,,J DANIELS TENNESSEE HONEY,70.0,50,120,1.65,1.58,1.61,1.89, 	.93 ,
221,7724,,J DANIELS TENNESSEE HONEY,70.0,375,24,10.50,9.97,10.16,11.95,,
221,7639,,J DANIELS TENNESSEE HONEY,70.0,750,12,20.15,19.15,19.52,22.95,,
221,7725,,J DANIELS TENNESSEE HONEY,70.0,1000,12,27.20,25.85,26.35,30.97,,
221,6815,,PRICHARD'S DOUBLE BARRELED,90.0,750,12,64.35,61.12,62.31,73.25,,
221,7533,,PRICHARD'S LINCOLN CO LIGHTING,90.0,750,12,17.55,16.67,16.99,19.97,,
221,7085,,PRICHARD'S SINGLE MALT,80.0,750,12,50.25,47.74,48.67,57.21,,
221,7087,,PRICHARD'S TENNESSEE WHISKEY,80.0,750,12,39.90,37.92,38.66,45.44,,
,,,,,,,,,,,,
STRAIGHT BOURBON,,,,,,,,,,,,
,,,,,,,,,,,,
321,88026,,ANCIENT AGE,80.0,750,12,7.85,7.45,7.60,8.93,,
321,6656,,ANCIENT AGE PL,80.0,1750,6,16.65,15.83,16.14,18.97,,
321,95520,,ANCIENT ANCIENT AGE 10 STAR,90.0,750,12,13.60,12.91,13.16,15.47,,
321,87920,,BAKER'S BOURBON,107.0,750,6,37.75,35.86,36.56,42.98,,
321,88780,,BASIL HAYDEN'S BOURBON,80.0,750,6,35.10,33.33,33.98,39.95,,
321,5612,,BENCHMARK NO 8,80.0,750,12,8.75,8.31,8.47,9.96,,
321,5613,,BENCHMARK NO 8 PL,80.0,1750,6,19.30,18.33,18.69,21.97,,
321,71832,,BENCHMARK NO 8/50ML FIREFLY PL,80.0,1750,6,19.30,18.33,18.69,21.97,,
321,71863,,BENCHMARK NO 8/50ML FIREFLY TE,80.0,750,12,8.75,8.31,8.47,9.96,,
299,6910,,BIG BUCK ARTISAN STRAIGHT BBN,80.0,375,24,21.05,19.99,20.38,23.96,,
299,6309,,BIG BUCK ARTISAN STRAIGHT BBN,80.0,750,12,41.25,39.19,39.95,46.96,,
299,6415,,BIG BUCK EXCLUSIVE BOURBON,80.0,750,12,4.20,4.00,4.08,4.79,,
321,7864,,BLANTON BBN,93.0,375,12,26.35,25.02,25.51,29.99,NEW,
321,93730,,BLANTON BBN,93.0,750,6,52.65,50.03,51.00,59.95,,
321,2791,,BOOKERS,126.7,750,6,50.05,47.54,48.47,56.98,,
321,6457,,BUFFALO TRACE BOURBON,90.0,375,12,11.40,10.84,11.05,12.99,,
321,358,,BUFFALO TRACE BOURBON,90.0,750,12,21.05,19.99,20.38,23.96,,
321,6493,,BUFFALO TRACE BOURBON,90.0,1750,6,42.10,39.98,40.76,47.92,,
321,7745,,BULLEIT BOURBON,90.0,50,120,2.15,2.05,2.09,2.46,,
321,2247,,BULLEIT BOURBON,90.0,375,24,10.50,9.97,10.16,11.95,,
321,2086,,BULLEIT BOURBON,90.0,750,12,21.90,20.82,21.23,24.95,,
321,7746,,BULLEIT BOURBON,90.0,1000,12,28.90,27.47,28.00,32.91,,
321,7747,,BULLEIT BOURBON,90.0,1750,6,43.00,40.85,41.65,48.96,,
321,5408,,CHARTER 101,101.0,750,12,17.55,16.67,16.99,19.97,,
321,6339,,CORNER CREEK RESERVE BOURBON,88.0,750,12,22.65,21.53,21.95,25.80,,
299,6984,,DIVINE,90.0,200,48,5.00,4.75,4.84,5.69,,
321,2645,,EAGLE RARE SINGLE BARREL-10 YR,90.0,375,12,13.15,12.50,12.74,14.98,,
321,953,,EAGLE RARE SINGLE BARREL-10 YR,90.0,750,6,25.45,24.18,24.65,28.98,,
321,2646,,EAGLE RARE SINGLE BARREL-10 YR,90.0,1750,3,47.40,45.04,45.92,53.98,,
321,1294,,EAGLE RARE 17YR,90.0,750,6,62.35,59.22,60.37,70.97,,
221,8637,,EARLY TIMES,80.0,750,12,8.75,8.31,8.47,9.96,,
221,8631,,EARLY TIMES,80.0,1000,12,12.25,11.64,11.87,13.95,,
221,8638,,EARLY TIMES,80.0,1750,6,20.15,19.15,19.52,22.95,,
221,7160,,EARLY TIMES PL,80.0,200,48,2.45,2.33,2.38,2.80,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STRAIGHT BOURBON (CONTINUED),,,,,,,,,,,,
,,,,,,,,,,,,
221,8633,,EARLY TIMES PL,80.0,375,24,5.25,4.99,5.09,5.98,,
221,8647,,EARLY TIMES PL,80.0,750,12,8.75,8.31,8.47,9.96,,
221,71266,,EARLY TIMES W/FISH MEASURE PL,80.0,1750,6,20.15,19.15,19.52,22.95,,
221,6718,,EARLY TIMES 150TH ANNIVERSARY,100.0,375,24,8.75,8.31,8.47,9.96,,
221,4826,,EARLY TIMES MINT JULEP 2011,60.0,1000,12,12.25,11.64,11.87,13.95,,
221,85136,,ELIJAH CRAIG-12 YR,94.0,750,12,19.30,18.33,18.69,21.97,,
221,92026,,ELIJAH CRAIG-12 YR,94.0,1750,3,35.10,33.33,33.98,39.95,,
221,99256,,ELIJAH CRAIG-18 YR,90.0,750,12,36.85,35.00,35.68,41.94,,
321,959,,ELMER T. LEE,90.0,750,12,28.95,27.51,28.05,32.97,,
221,5476,,EVAN WILLIAMS BLACK LABEL,86.0,50,120,0.85,0.80,0.82,0.96,,
221,99276,,EVAN WILLIAMS BLACK LABEL,86.0,200,48,3.50,3.32,3.38,3.98,,
221,95920,,EVAN WILLIAMS BLACK LABEL,86.0,375,24,5.50,5.22,5.32,6.26,,
221,8687,,EVAN WILLIAMS BLACK LABEL,86.0,750,12,10.35,9.82,10.01,11.77,,
221,98590,,EVAN WILLIAMS BLACK LABEL,86.0,1000,12,11.85,11.25,11.47,13.48,,
221,8688,,EVAN WILLIAMS BLACK LABEL,86.0,1750,6,21.90,20.82,21.23,24.95,,
221,91096,,EVAN WILLIAMS BLACK CARRY PACK,86.0,750,12,10.35,9.82,10.01,11.77,,
221,71260,,EVAN WILLIAMS BLK/50ML EW BLK,86.0,750,12,10.35,9.82,10.01,11.77,,
221,71677,,EVAN WMS BLACK/50ML EW HON RES,86.0,1750,6,21.90,20.82,21.23,24.95,,
221,71861,,EVAN WMS BLK/50ML EW CHRY RES,86.0,1750,6,21.90,20.82,21.23,24.95,,
